Normalized_Nitrogen,Normalized_phosphorus,Normalized_potassium,Normalized_temperature,Normalized_humidity,Normalized_pH,Normalized_rainfall,label
0.642857143,0.289655172,0.209756098,0.478065471,0.820176058,0.654547129,0.679714189,rice
0.607142857,0.4,0.2,0.498459472,0.803342006,0.708407841,0.759162183,rice
0.428571429,0.379310345,0.214634146,0.526713247,0.823356821,0.789142962,0.884124327,rice
0.528571429,0.24137931,0.195121951,0.60654377,0.8017289,0.702600601,0.813451075,rice
0.557142857,0.289655172,0.204878049,0.460903239,0.816196624,0.767831205,0.879947925,rice
0.492857143,0.255172414,0.204878049,0.527940241,0.833852271,0.711966655,0.840885972,rice
0.492857143,0.379310345,0.185365854,0.519944664,0.826543909,0.573805079,0.908778033,rice
0.671428571,0.365517241,0.195121951,0.464281995,0.829091093,0.575598873,0.810470639,rice
0.635714286,0.372413793,0.185365854,0.561318961,0.835503556,0.672902384,0.771858785,rice
0.485714286,0.4,0.185365854,0.531739286,0.830482753,0.637765021,0.740920156,rice
0.65,0.365517241,0.195121951,0.607371208,0.81432294,0.542135728,0.886303527,rice
0.642857143,0.317241379,0.204878049,0.549026059,0.814653775,0.755185228,0.837631129,rice
0.557142857,0.4,0.214634146,0.613634696,0.809015076,0.514205837,0.952694137,rice
0.664285714,0.386206897,0.175609756,0.549850184,0.820717432,0.702998459,0.620569657,rice
0.671428571,0.344827586,0.180487805,0.587648863,0.806784694,0.699341338,0.701992566,rice
0.428571429,0.331034483,0.190243902,0.555966153,0.803148089,0.708830857,0.774002737,rice
0.607142857,0.262068966,0.2,0.494261605,0.828033748,0.628987762,0.926631676,rice
0.65,0.24137931,0.190243902,0.544788841,0.80432754,0.701640252,0.69085315,rice
0.55,0.262068966,0.175609756,0.500629813,0.802068343,0.599283215,0.75212668,rice
0.628571429,0.24137931,0.195121951,0.539878002,0.83602752,0.589217762,0.975678471,rice
0.635714286,0.310344828,0.175609756,0.488261072,0.804893486,0.648456604,0.621306977,rice
0.542857143,0.275862069,0.209756098,0.576008542,0.831321983,0.510330068,0.7750008,rice
0.478571429,0.406896552,0.2,0.502516797,0.809885171,0.605191497,0.714616897,rice
